([2, 2, 11, 31, 53], [1, None, 1, 3, -4])
([2, 2, 11, 31, 47], [1, None, 1, 3, -5])
([2, 2, 11, 31, 43], [1, None, 1, 3, -6])
([2, 2, 11, 31, 41], [1, None, 1, 3, -7])
([2, 2, 11, 31, 37], [1, None, 1, 3, -8])
([2, 2, 11, 37, 47], [1, None, 1, 4, -1])
([2, 2, 11, 37, 43], [1, None, 1, 4, -2])
([2, 2, 11, 37, 41], [1, None, 1, 4, -3])
([2, 2, 11, 41, 43], [1, None, 1, 5, -1])
([2, 2, 13, 13, 17], [1, None, 2, None, -1])
([2, 2, 13, 17, 439], [1, None, 2, 1, -1])
([2, 2, 13, 17, 433], [1, None, 2, 1, -2])
([2, 2, 13, 17, 431], [1, None, 2, 1, -3])
([2, 2, 13, 17, 421], [1, None, 2, 1, -4])
([2, 2, 13, 17, 419], [1, None, 2, 1, -5])
([2, 2, 13, 17, 409], [1, None, 2, 1, -6])
([2, 2, 13, 17, 401], [1, None, 2, 1, -7])
([2, 2, 13, 17, 397], [1, None, 2, 1, -8])
([2, 2, 13, 17, 389], [1, None, 2, 1, -9])
([2, 2, 13, 17, 383], [1, None, 2, 1, -10])
([2, 2, 13, 17, 379], [1, None, 2, 1, -11])
([2, 2, 13, 17, 373], [1, None, 2, 1, -12])
([2, 2, 13, 17, 367], [1, None, 2, 1, -13])
([2, 2, 13, 17, 359], [1, None, 2, 1, -14])
([2, 2, 13, 17, 353], [1, None, 2, 1, -15])
([2, 2, 13, 17, 349], [1, None, 2, 1, -16])
([2, 2, 13, 17, 347], [1, None, 2, 1, -17])
([2, 2, 13, 17, 337], [1, None, 2, 1, -18])
([2, 2, 13, 17, 331], [1, None, 2, 1, -19])
([2, 2, 13, 17, 317], [1, None, 2, 1, -20])
([2, 2, 13, 17, 313], [1, None, 2, 1, -21])
([2, 2, 13, 17, 311], [1, None, 2, 1, -22])
([2, 2, 13, 17, 307], [1, None, 2, 1, -23])
([2, 2, 13, 17, 293], [1, None, 2, 1, -24])
([2, 2, 13, 17, 283], [1, None, 2, 1, -25])
([2, 2, 13, 17, 281], [1, None, 2, 1, -26])
([2, 2, 13, 17, 277], [1, None, 2, 1, -27])
([2, 2, 13, 17, 271], [1, None, 2, 1, -28])
([2, 2, 13, 17, 269], [1, None, 2, 1, -29])
([2, 2, 13, 17, 263], [1, None, 2, 1, -30])
([2, 2, 13, 17, 257], [1, None, 2, 1, -31])
([2, 2, 13, 17, 251], [1, None, 2, 1, -32])
([2, 2, 13, 17, 241], [1, None, 2, 1, -33])
([2, 2, 13, 17, 239], [1, None, 2, 1, -34])
([2, 2, 13, 17, 233], [1, None, 2, 1, -35])
([2, 2, 13, 17, 229], [1, None, 2, 1, -36])
([2, 2, 13, 17, 227], [1, None, 2, 1, -37])
([2, 2, 13, 17, 223], [1, None, 2, 1, -38])
([2, 2, 13, 17, 211], [1, None, 2, 1, -39])
([2, 2, 13, 17, 199], [1, None, 2, 1, -40])
([2, 2, 13, 17, 197], [1, None, 2, 1, -41])
([2, 2, 13, 17, 193], [1, None, 2, 1, -42])
([2, 2, 13, 17, 191], [1, None, 2, 1, -43])
([2, 2, 13, 17, 181], [1, None, 2, 1, -44])
([2, 2, 13, 17, 179], [1, None, 2, 1, -45])
([2, 2, 13, 17, 173], [1, None, 2, 1, -46])
([2, 2, 13, 17, 167], [1, None, 2, 1, -47])
([2, 2, 13, 17, 163], [1, None, 2, 1, -48])
([2, 2, 13, 17, 157], [1, None, 2, 1, -49])
([2, 2, 13, 17, 151], [1, None, 2, 1, -50])
([2, 2, 13, 17, 149], [1, None, 2, 1, -51])
([2, 2, 13, 17, 139], [1, None, 2, 1, -52])
([2, 2, 13, 17, 137], [1, None, 2, 1, -53])
([2, 2, 13, 17, 131], [1, None, 2, 1, -54])
([2, 2, 13, 17, 127], [1, None, 2, 1, -55])
([2, 2, 13, 17, 113], [1, None, 2, 1, -56])
([2, 2, 13, 17, 109], [1, None, 2, 1, -57])
([2, 2, 13, 17, 107], [1, None, 2, 1, -58])
([2, 2, 13, 17, 103], [1, None, 2, 1, -59])
([2, 2, 13, 17, 101], [1, None, 2, 1, -60])
([2, 2, 13, 17, 97], [1, None, 2, 1, -61])
([2, 2, 13, 17, 89], [1, None, 2, 1, -62])
([2, 2, 13, 17, 83], [1, None, 2, 1, -63])
([2, 2, 13, 17, 79], [1, None, 2, 1, -64])
([2, 2, 13, 17, 73], [1, None, 2, 1, -65])
([2, 2, 13, 17, 71], [1, None, 2, 1, -66])
([2, 2, 13, 17, 67], [1, None, 2, 1, -67])
([2, 2, 13, 17, 61], [1, None, 2, 1, -68])
([2, 2, 13, 17, 59], [1, None, 2, 1, -69])
([2, 2, 13, 17, 53], [1, None, 2, 1, -70])
([2, 2, 13, 17, 47], [1, None, 2, 1, -71])
([2, 2, 13, 17, 43], [1, None, 2, 1, -72])
([2, 2, 13, 17, 41], [1, None, 2, 1, -73])
([2, 2, 13, 17, 37], [1, None, 2, 1, -74])
([2, 2, 13, 17, 31], [1, None, 2, 1, -75])
([2, 2, 13, 17, 29], [1, None, 2, 1, -76])
