sage: sfpan(7,3,onlycount=True,proof=True, verbose=6)
[3, 5, 7, 11, 389, 31357] 50813
[3, 5, 7, 11, 389, 31379] 50085
[3, 5, 7, 11, 389, 31387] 49828
[3, 5, 7, 11, 389, 31391] 49689
[3, 5, 7, 11, 389, 31393] 49623
[3, 5, 7, 11, 389, 31397] 49492
[3, 5, 7, 11, 389, 31469] 47328
[3, 5, 7, 11, 389, 31477] 47098
[3, 5, 7, 11, 389, 31481] 46977
[3, 5, 7, 11, 389, 31489] 46746
[3, 5, 7, 11, 389, 31511] 46121
[3, 5, 7, 11, 389, 31513] 46061
[3, 5, 7, 11, 389, 31517] 45953
[3, 5, 7, 11, 389, 31531] 45569
[3, 5, 7, 11, 389, 31541] 45296
[3, 5, 7, 11, 389, 31543] 45240
[3, 5, 7, 11, 389, 31547] 45127
[3, 5, 7, 11, 389, 31567] 44601
[3, 5, 7, 11, 389, 31573] 44447
[3, 5, 7, 11, 389, 31583] 44190
[3, 5, 7, 11, 389, 31601] 43734
[3, 5, 7, 11, 389, 31607] 43577
[3, 5, 7, 11, 389, 31627] 43092
[3, 5, 7, 11, 389, 31643] 42716
[3, 5, 7, 11, 389, 31649] 42565
[3, 5, 7, 11, 389, 31657] 42371
[3, 5, 7, 11, 389, 31663] 42243
[3, 5, 7, 11, 389, 31667] 42146
[3, 5, 7, 11, 389, 31687] 41686
[3, 5, 7, 11, 389, 31699] 41429
[3, 5, 7, 11, 389, 31721] 40957
[3, 5, 7, 11, 389, 31723] 40905
[3, 5, 7, 11, 389, 31727] 40813
[3, 5, 7, 11, 389, 31729] 40772
[3, 5, 7, 11, 389, 31741] 40520
[3, 5, 7, 11, 389, 31751] 40305
[3, 5, 7, 11, 389, 31769] 39928
[3, 5, 7, 11, 389, 31771] 39887
[3, 5, 7, 11, 389, 31793] 39430
[3, 5, 7, 11, 389, 31799] 39295
[3, 5, 7, 11, 389, 31817] 38943
[3, 5, 7, 11, 389, 31847] 38365
[3, 5, 7, 11, 389, 31849] 38331
[3, 5, 7, 11, 389, 31859] 38148
[3, 5, 7, 11, 389, 31873] 37878
[3, 5, 7, 11, 389, 31883] 37685
[3, 5, 7, 11, 389, 31891] 37537
[3, 5, 7, 11, 389, 31907] 37251
[3, 5, 7, 11, 389, 31957] 36378
[3, 5, 7, 11, 389, 31963] 36283
[3, 5, 7, 11, 389, 31973] 36096
[3, 5, 7, 11, 389, 31981] 35965
[3, 5, 7, 11, 389, 31991] 35787
[3, 5, 7, 11, 389, 32003] 35577
[3, 5, 7, 11, 389, 32009] 35491
[3, 5, 7, 11, 389, 32027] 35189
[3, 5, 7, 11, 389, 32029] 35161
[3, 5, 7, 11, 389, 32051] 34833
[3, 5, 7, 11, 389, 32057] 34739
[3, 5, 7, 11, 389, 32059] 34707
[3, 5, 7, 11, 389, 32063] 34638
[3, 5, 7, 11, 389, 32069] 34549
[3, 5, 7, 11, 389, 32077] 34441
[3, 5, 7, 11, 389, 32083] 34352
[3, 5, 7, 11, 389, 32089] 34245
[3, 5, 7, 11, 389, 32099] 34096
[3, 5, 7, 11, 389, 32117] 33846
[3, 5, 7, 11, 389, 32119] 33815
[3, 5, 7, 11, 389, 32141] 33476
[3, 5, 7, 11, 389, 32143] 33442
[3, 5, 7, 11, 389, 32159] 33228
[3, 5, 7, 11, 389, 32173] 33025
[3, 5, 7, 11, 389, 32183] 32875
[3, 5, 7, 11, 389, 32189] 32785
[3, 5, 7, 11, 389, 32191] 32748
[3, 5, 7, 11, 389, 32203] 32584
[3, 5, 7, 11, 389, 32213] 32447
[3, 5, 7, 11, 389, 32233] 32183
[3, 5, 7, 11, 389, 32237] 32127
[3, 5, 7, 11, 389, 32251] 31941
[3, 5, 7, 11, 389, 32257] 31865
[3, 5, 7, 11, 389, 32261] 31811
[3, 5, 7, 11, 389, 32297] 31349
[3, 5, 7, 11, 389, 32299] 31328
[3, 5, 7, 11, 389, 32303] 31266
[3, 5, 7, 11, 389, 32309] 31193
[3, 5, 7, 11, 389, 32321] 31038
[3, 5, 7, 11, 389, 32323] 31012
[3, 5, 7, 11, 389, 32327] 30958
[3, 5, 7, 11, 389, 32341] 30789
[3, 5, 7, 11, 389, 32353] 30653
[3, 5, 7, 11, 389, 32359] 30582
[3, 5, 7, 11, 389, 32363] 30535
[3, 5, 7, 11, 389, 32369] 30468
[3, 5, 7, 11, 389, 32371] 30444
[3, 5, 7, 11, 389, 32377] 30378
